Team,Region,Seed
Kansas,Midwest,1
Siena,Midwest,16
Houston,Midwest,8
Marquette,Midwest,9
Auburn,Midwest,5
Liberty,Midwest,12
Wisconsin,Midwest,4
North Texas,Midwest,13
Iowa,Midwest,6
East Tennessee St.,Midwest,11
Duke,Midwest,3
Belmont,Midwest,14
Providence,Midwest,7
Arizona St.,Midwest,10
Kentucky,Midwest,2
North Dakota St.,Midwest,15
Dayton,East,1
Boston University,East,16
Robert Morris,East,16
Colorado,East,8
Florida,East,9
Butler,East,5
Texas,East,12
Richmond,East,12
Maryland,East,4
Akron,East,13
Penn St.,East,6
N.C. State,East,11
UCLA,East,11
Villanova,East,3
Hofstra,East,14
West Virginia,East,7
Utah St.,East,10
Florida St.,East,2
Northern Kentucky,East,15
Gonzaga,West,1
Prairie View A&M,West,16
North Carolina Central,West,16
LSU,West,8
Oklahoma,West,9
Michigan,West,5
Yale,West,12
Oregon,West,4
New Mexico St.,West,13
BYU,West,6
Indiana,West,11
Seton Hall,West,3
Eastern Washington,West,14
Arizona St.,West,7
Texas Tech,West,10
San Diego St.,West,2
UC Irvine,West,15
Baylor,South,1
Winthrop,South,16
Saint Mary's,South,8
Rutgers,South,9
Ohio St.,South,5
Stephen F. Austin,South,12
Louisville,South,4
Vermont,South,13
Virginia,South,6
Cincinnati,South,11
Michigan St.,South,3
Bradley,South,14
Illinois,South,7
USC,South,10
Creighton,South,2
Little Rock,South,15
